"SYMBOL 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","NO. OF SECURITY (POST) 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","MODE OF ACQUISITION 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
",is_insider
MPHASIS,KATHRYN TERRY,-,Equity Shares,0.0,50.0,313287.0,Buy,3490,2023-12-07,ESOP,0,1
MPHASIS,KATHRYN TERRY,-,Equity Shares,0.0,50.0,314000.0,Buy,4938,2023-12-07,ESOP,0,1
MPHASIS,SRIKANTH KARRA,-,Equity Shares,0.0,50.0,306669.0,Buy,9533,2023-10-25,ESOP,0,1
MPHASIS,ANURAG BHATIA,-,Equity Shares,0.0,1900.0,11842700.0,Buy,6581,2023-12-07,ESOP,0,1
MPHASIS,SRIKANTH KARRA,-,Equity Shares,0.0,6866.0,43587015.0,Buy,12813,2023-12-07,ESOP,0,1
MPHASIS,MANISH DUGAR,Key Managerial Personnel,Equity Shares,0.0,50.0,313774.0,Sell,6826,2023-12-08,Market Sale,0,1
MPHASIS,ANIL SANAN,Employees/Designated Employees,Equity Shares,0.0,,,Buy,27725,2023-11-22,ESOP,0,1
MPHASIS,ANIL SANAN,Employees/Designated Employees,Equity Shares,0.0,,,Buy,22265,2023-10-25,ESOP,0,1
MPHASIS,Rohit Jayachandran,Employees/Designated Employees,Equity Shares,0.0,,,Sell,24591,2023-12-07,Market Sale,0,1
MPHASIS,Manish Dugar,Key Managerial Personnel,Equity Shares,0.0,,,Sell,7226,2023-12-07,Market Sale,0,1
MPHASIS,Rohit Jayachandran,Employees/Designated Employees,Equity Shares,0.0,,,Buy,35346,2023-10-25,ESOP,0,1
MPHASIS,Manish Dugar,Key Managerial Personnel,Equity Shares,0.0,,,Sell,7426,2023-12-01,Market Sale,0,1
MPHASIS,Ramesh Krishnan,Employees/Designated Employees,Equity Shares,0.0,,,Buy,8500,2023-12-01,ESOP,0,1
MPHASIS,Shreerekha Vijayalakshmi,Employees/Designated Employees,Equity Shares,0.0,,,Buy,20861,2023-12-01,ESOP,0,1
MPHASIS,Albertus Martinus Hooyman,Employees/Designated Employees,Equity Shares,0.0,,,Sell,Nil,2023-11-30,Market Sale,0,1
MPHASIS,Manish Dugar,Key Managerial Personnel,Equity Shares,0.0,,,Sell,8726,2023-11-30,Market Sale,0,1
MPHASIS,ROHINI SURI,Employees/Designated Employees,Equity Shares,0.0,,,Sell,Nil,2023-11-16,Market Sale,0,1
MPHASIS,Ramesh Krishnan,Employees/Designated Employees,Equity Shares,0.0,,,Sell,8197,2023-11-09,Market Sale,0,1
MPHASIS,Ramesh Krishnan,Employees/Designated Employees,Equity Shares,0.0,,,Sell,8697,2023-11-07,Market Sale,0,1
MPHASIS,Shreerekha Vijayalakshmi,Employees/Designated Employees,Equity Shares,0.01,,,Sell,15598,2023-11-07,Market Sale,0,1
MPHASIS,Shreerekha Vijayalakshmi,Employees/Designated Employees,Equity Shares,0.01,,,Sell,14598,2023-11-07,Market Sale,0,1
MPHASIS,Nitin Rakesh,Key Managerial Personnel,Equity Shares,0.09,,,Sell,149429,2023-11-07,Market Sale,0,1
MPHASIS,Nitin Rakesh,Key Managerial Personnel,Equity Shares,0.08,,,Buy,183785,2023-11-01,ESOP,0,1
MPHASIS,Nitin Rakesh,Key Managerial Personnel,Equity Shares,0.1,,,Sell,169429,2023-11-06,Market Sale,0,1
MPHASIS,Ramesh Krishnan,Employees/Designated Employees,Equity Shares,0.0,,,Sell,9197,2023-11-06,Market Sale,0,1
MPHASIS,DINESH VK KUMAR,Employees/Designated Employees,Equity Shares,0.0,,,Sell,7831,2023-10-26,Market Sale,0,1
GOODLUCK,Ritu Garg,Promoter Group,Warrants,0.4,,,Buy,Nil,2024-01-06,Others,0,0
GOODLUCK,Ashish Garg,Promoter Group,Equity Shares,0.4,,,Buy,307300,2024-01-06,Preferential Offer,0,0
GOODLUCK,Ashish Garg,Promoter Group,Warrants,0.59,,,Buy,Nil,2024-01-06,Others,0,0
GOODLUCK,Ritu Garg,Promoter Group,Equity Shares,0.71,,,Buy,346871,2024-01-06,Preferential Offer,0,0
GOODLUCK,Manish Garg,Promoter Group,Equity Shares,2.43,,,Buy,838107,2024-01-06,Preferential Offer,0,0
GOODLUCK,Manish Garg,Promoter Group,Warrants,0.54,,,Buy,83350,2024-01-06,Others,0,0
GOODLUCK,Shikha Garg,Promoter Group,Equity Shares,1.61,,,Buy,622250,2024-01-06,Preferential Offer,0,0
GOODLUCK,Shikha Garg,Promoter Group,Warrants,0.91,,,Buy,160875,2024-01-06,Others,0,0
GOODLUCK,Umesh Garg,Promoter Group,Equity Shares,1.79,,,Buy,640768,2024-01-06,Preferential Offer,0,0
GOODLUCK,Umesh Garg,Promoter Group,Warrants,0.54,,,Buy,83325,2024-01-06,Others,0,0
GOODLUCK,Swati Bansal,Promoter Group,Equity Shares,0.24,,,Buy,202500,2024-01-06,Preferential Offer,0,0
GOODLUCK,Swati Bansal,Promoter Group,Warrants,0.41,,,Buy,Nil,2024-01-06,Others,0,0
GOODLUCK,Dhruv Aggarwal,Promoter Group,Equity Shares,0.24,,,Buy,167000,2024-01-06,Preferential Offer,0,0
GOODLUCK,Dhruv Aggarwal,Promoter Group,Warrants,0.42,,,Buy,37500,2024-01-06,Others,0,0
GOODLUCK,Ankita Agarwal,Promoter Group,Equity Shares,1.2,,,Buy,466314,2024-01-06,Preferential Offer,0,0
GOODLUCK,Ankita Agarwal,Promoter Group,Warrants,0.64,,,Buy,107250,2024-01-06,Others,0,0
GOODLUCK,Radhika Garg,Promoter Group,Warrants,0.4,,,Buy,Nil,2024-01-06,Others,0,0
GOODLUCK,Radhika Garg,Promoter Group,Equity Shares,0.71,,,Buy,345500,2024-01-06,Preferential Offer,0,0
GOODLUCK,Parul Garg,Promoter Group,Warrants,0.4,,,Buy,Nil,2024-01-06,Others,0,0
GOODLUCK,Parul Garg,Promoter Group,Equity Shares,0.71,,,Buy,345500,2024-01-06,Preferential Offer,0,0
GOODLUCK,Bhavya Garg,Promoter Group,Equity Shares,0.8,,,Buy,377700,2024-01-06,Preferential Offer,0,0
GOODLUCK,Bhavya Garg,Promoter Group,Warrants,0.41,,,Buy,Nil,2024-01-06,Others,0,0
GOODLUCK,Rajat Garg,Promoter Group,Warrants,0.21,,,Buy,122100,2023-11-09,Preferential Offer,0,0
GOODLUCK,Rajat Garg,Promoter Group,Equity Shares,0.99,,,Buy,291920,2023-11-09,Others,0,0
GOODLUCK,Saras Garg,Promoter Group,Warrants,0.21,,,Buy,122100,2023-11-09,Preferential Offer,0,0
GOODLUCK,Tushar Garg,Promoter Group,Equity Shares,0.98,,,Buy,288000,2023-11-09,Others,0,0
GOODLUCK,Tushar Garg,Promoter Group,Warrants,0.17,,,Buy,110100,2023-11-09,Preferential Offer,0,0
GOODLUCK,ASHISH GARG AND SONS HUF,Promoter Group,Equity Shares,0.27,,,Buy,78938,2023-11-09,Others,0,0
GOODLUCK,ASHISH GARG AND SONS HUF,Promoter Group,Warrants,0.0,,,Buy,75000,2023-11-09,Preferential Offer,0,0
GOODLUCK,Dhruv Aggarwal,Promoter Group,Equity Shares,0.25,,,Buy,75000,2023-11-09,Others,0,0
GOODLUCK,Ankita Agarwal,Promoter Group,Warrants,0.55,,,Buy,200250,2023-11-09,Preferential Offer,0,0
GOODLUCK,Saras Garg,Promoter Group,Equity Shares,1.07,,,Buy,314500,2023-11-09,Others,0,0
GOODLUCK,Dhruv Aggarwal,Promoter Group,Warrants,0.31,,,Buy,129500,2023-11-09,Preferential Offer,0,0
GOODLUCK,Ankita Agarwal,Promoter Group,Equity Shares,1.27,,,Buy,373314,2023-11-09,Others,0,0
GOODLUCK,Umesh Garg,Promoter Group,Warrants,0.28,,,Buy,167325,2023-11-09,Preferential Offer,0,0
GOODLUCK,Umesh Garg,Promoter Group,Equity Shares,1.89,,,Buy,556768,2023-11-09,Others,0,0
GOODLUCK,Shikha Garg,Promoter Group,Equity Shares,1.69,,,Buy,499250,2023-11-09,Others,0,0
GOODLUCK,Shikha Garg,Promoter Group,Warrants,0.68,,,Buy,283875,2023-11-09,Preferential Offer,0,0
BAJAJ-AUTO,ZANZARI KAILASH J,Employees/Designated Employees,Equity Shares,0.0,,,Buy,6700,2023-12-27,ESOP,0,0
BAJAJ-AUTO,AJITESH CHATTERJEE,Employees/Designated Employees,Equity Shares,0.0,,,Sell,Nil,2023-11-16,Market Sale,0,0
BAJAJ-AUTO,AJITESH CHATTERJEE,Employees/Designated Employees,Equity Shares,0.0,,,Buy,51,2023-11-22,ESOP,0,0
BAJAJ-AUTO,AJITESH CHATTERJEE,Employees/Designated Employees,Equity Shares,0.0,,,Sell,Nil,2023-11-28,Market Sale,0,0
BAJAJ-AUTO,AJITESH CHATTERJEE,Employees/Designated Employees,Equity Shares,0.0,,,Sell,Nil,2023-12-27,Market Sale,0,0
BAJAJ-AUTO,AJITESH CHATTERJEE,Employees/Designated Employees,Equity Shares,0.0,,,Sell,47,2023-12-14,Market Sale,0,0
BAJAJ-AUTO,AJITESH CHATTERJEE,Employees/Designated Employees,Equity Shares,0.0,,,Buy,50,2023-12-05,ESOP,0,0
BAJAJ-AUTO,C S ANAWALIKAR,Employees/Designated Employees,Equity Shares,0.0,,,Buy,100,2023-12-28,ESOP,0,0
BAJAJ-AUTO,C S ANAWALIKAR,Employees/Designated Employees,Equity Shares,0.0,,,Sell,Nil,2023-12-28,Market Sale,0,0
BAJAJ-AUTO,ZANZARI KAILASH J,Employees/Designated Employees,Equity Shares,0.0,,,Sell,6400,2023-12-27,Market Sale,0,0
BAJAJ-AUTO,ZANZARI KAILASH J,Employees/Designated Employees,Equity Shares,0.0,,,Sell,6500,2023-12-27,Market Sale,0,0
BAJAJ-AUTO,ZANZARI KAILASH J,Employees/Designated Employees,Equity Shares,0.0,,,Sell,6750,2023-12-18,Market Sale,0,0
BAJAJ-AUTO,Ramtilak Ananthan,Employees/Designated Employees,Equity Shares,0.0,,,Sell,100,2023-12-27,Market Sale,0,0
BAJAJ-AUTO,ZANZARI KAILASH J,Employees/Designated Employees,Equity Shares,0.0,,,Sell,6700,2023-12-18,Market Sale,0,0
BAJAJ-AUTO,ZANZARI KAILASH J,Employees/Designated Employees,Equity Shares,0.0,,,Sell,6600,2023-12-22,Market Sale,0,0
BAJAJ-AUTO,ZANZARI KAILASH J,Employees/Designated Employees,Equity Shares,0.0,,,Sell,6550,2023-12-26,Market Sale,0,0
BAJAJ-AUTO,ZANZARI KAILASH J,Employees/Designated Employees,Equity Shares,0.0,,,Sell,6600,2023-12-22,Market Sale,0,0
BAJAJ-AUTO,ZANZARI KAILASH J,Employees/Designated Employees,Equity Shares,0.0,,,Sell,6750,2023-12-18,Market Sale,0,0
BAJAJ-AUTO,ZANZARI KAILASH J,Employees/Designated Employees,Equity Shares,0.0,,,Sell,6700,2023-12-18,Market Sale,0,0
BAJAJ-AUTO,NAVEEN NIJHAWAN,Employees/Designated Employees,Equity Shares,0.0,,,Buy,2170,2023-11-23,ESOP,0,0
BAJAJ-AUTO,NAVEEN NIJHAWAN,Employees/Designated Employees,Equity Shares,0.0,,,Sell,2229,2023-12-21,Market Sale,0,0
BAJAJ-AUTO,NAVEEN NIJHAWAN,Employees/Designated Employees,Equity Shares,0.0,,,Buy,2370,2023-12-21,ESOP,0,0
BAJAJ-AUTO,C S ANAWALIKAR,Employees/Designated Employees,Equity Shares,0.0,,,Buy,135,2023-12-21,ESOP,0,0
BAJAJ-AUTO,C S ANAWALIKAR,Employees/Designated Employees,Equity Shares,0.0,,,Sell,Nil,2023-12-21,Market Sale,0,0
BAJAJ-AUTO,Ramtilak Ananthan,Employees/Designated Employees,Equity Shares,0.0,,,Buy,700,2023-12-21,ESOP,0,0
BAJAJ-AUTO,ZANZARI KAILASH J,Employees/Designated Employees,Equity Shares,0.0,,,Sell,6900,2023-12-15,Market Sale,0,0
BAJAJ-AUTO,ASWIN JAIKANTH,Employees/Designated Employees,Equity Shares,0.0,,,Sell,Nil,2023-12-15,Market Sale,0,0
BAJAJ-AUTO,ASWIN JAIKANTH,Employees/Designated Employees,Equity Shares,0.0,,,Sell,250,2023-12-15,Market Sale,0,0
BAJAJ-AUTO,Jyothi Madhavadas Kini,Immediate relative,Equity Shares,0.0,,,Buy,2344,2023-12-15,Gift,0,0
BAJAJ-AUTO,MADHAVDAS KINI,Employees/Designated Employees,Equity Shares,0.0,,,Sell,Nil,2023-12-15,Gift,0,0
BAJAJ-AUTO,MADHAVDAS KINI,Employees/Designated Employees,Equity Shares,0.0,,,Buy,750,2023-12-14,ESOP,0,0
BAJAJ-AUTO,ZANZARI KAILASH J,Employees/Designated Employees,Equity Shares,0.0,,,Sell,6800,2023-12-18,Market Sale,0,0
BAJAJ-AUTO,Ramtilak Ananthan,Employees/Designated Employees,Equity Shares,0.0,,,Sell,Nil,2023-12-15,Market Sale,0,0
BAJAJ-AUTO,ASWIN JAIKANTH,Employees/Designated Employees,Equity Shares,0.0,,,Buy,400,2023-12-14,ESOP,0,0
BAJAJ-AUTO,MADHAVDAS KINI,Employees/Designated Employees,Equity Shares,0.0,,,Buy,702,2023-11-30,ESOP,0,0
BAJAJ-AUTO,MADHAVDAS KINI,Employees/Designated Employees,Equity Shares,0.0,,,Sell,660,2023-12-13,Market Sale,0,0
BAJAJ-AUTO,MADHAVDAS KINI,Employees/Designated Employees,Equity Shares,0.0,,,Sell,660,2023-12-07,Market Sale,0,0
BAJAJ-AUTO,MADHAVDAS KINI,Employees/Designated Employees,Equity Shares,0.0,,,Buy,608,2023-11-24,ESOP,0,0
BAJAJ-AUTO,ZANZARI KAILASH J,Employees/Designated Employees,Equity Shares,0.0,,,Sell,7000,2023-12-14,Market Sale,0,0
BAJAJ-AUTO,ZANZARI KAILASH J,Employees/Designated Employees,Equity Shares,0.0,,,Buy,7143,2023-12-14,ESOP,0,0
BAJAJ-AUTO,MADHAVDAS KINI,Employees/Designated Employees,Equity Shares,0.0,,,Buy,705,2023-12-12,ESOP,0,0
BAJAJ-AUTO,MADHAVDAS KINI,Employees/Designated Employees,Equity Shares,0.0,,,Buy,705,2023-12-14,ESOP,0,0
BAJAJ-AUTO,C S ANAWALIKAR,Employees/Designated Employees,Equity Shares,0.0,,,Sell,Nil,2023-12-13,Market Sale,0,0
BAJAJ-AUTO,MADHAVDAS KINI,Employees/Designated Employees,Equity Shares,0.0,,,Buy,656,2023-11-24,ESOP,0,0
BAJAJ-AUTO,C S ANAWALIKAR,Employees/Designated Employees,Equity Shares,0.0,,,Buy,220,2023-12-13,ESOP,0,0
BAJAJ-AUTO,C S ANAWALIKAR,Employees/Designated Employees,Equity Shares,0.0,,,Buy,124,2023-12-04,ESOP,0,0
BAJAJ-AUTO,Ramtilak Ananthan,Employees/Designated Employees,Equity Shares,0.0,,,Buy,500,2023-12-13,ESOP,0,0
BAJAJ-AUTO,Govind Agrawal,Employees/Designated Employees,Equity Shares,0.0,,,Sell,Nil,2023-12-13,Market Sale,0,0
BAJAJ-AUTO,Ramtilak Ananthan,Employees/Designated Employees,Equity Shares,0.0,,,Sell,Nil,2023-12-04,Market Sale,0,0
BAJAJ-AUTO,C S ANAWALIKAR,Employees/Designated Employees,Equity Shares,0.0,,,Sell,Nil,2023-12-05,Market Sale,0,0
BAJAJ-AUTO,BADRI NARAYANA SUBRAMANIYAN,Employees/Designated Employees,Equity Shares,0.0,,,Sell,Nil,2023-12-06,Market Sale,0,0
BAJAJ-AUTO,Govind Agrawal,Employees/Designated Employees,Equity Shares,0.0,,,Buy,451,2023-12-07,ESOP,0,0
BAJAJ-AUTO,Zanzari Kailash J,Employees/Designated Employees,Equity Shares,0.0,,,Buy,7000,2023-12-05,ESOP,0,0
BAJAJ-AUTO,ASWIN JAIKANTH,Employees/Designated Employees,Equity Shares,0.0,,,Sell,Nil,2023-12-05,Market Sale,0,0
BAJAJ-AUTO,ASWIN JAIKANTH,Employees/Designated Employees,Equity Shares,0.0,,,Buy,200,2023-12-05,ESOP,0,0
BAJAJ-AUTO,C S ANAWALIKAR,Employees/Designated Employees,Equity Shares,0.0,,,Buy,100,2023-11-30,ESOP,0,0
BAJAJ-AUTO,C S ANAWALIKAR,Employees/Designated Employees,Equity Shares,0.0,,,Buy,46,2023-11-13,ESOP,0,0
BAJAJ-AUTO,C S ANAWALIKAR,Employees/Designated Employees,Equity Shares,0.0,,,Sell,5,2023-11-09,Market Sale,0,0
BAJAJ-AUTO,SAMARDEEP SUBANDH,Employees/Designated Employees,Equity Shares,0.0,,,Buy,5656,2023-12-05,ESOP,0,0
BAJAJ-AUTO,BADRI NARAYANA SUBRAMANIYAN,Employees/Designated Employees,Equity Shares,0.0,,,Buy,519,2023-12-05,ESOP,0,0
BAJAJ-AUTO,Govind Agrawal,Employees/Designated Employees,Equity Shares,0.0,,,Sell,Nil,2023-12-05,Market Sale,0,0
BAJAJ-AUTO,Chetan Joshi,Employees/Designated Employees,Equity Shares,0.0,,,Sell,100,2023-12-05,Market Sale,0,0
BAJAJ-AUTO,SAMARDEEP SUBANDH,Employees/Designated Employees,Equity Shares,0.0,,,Sell,Nil,2023-12-05,Market Sale,0,0
BAJAJ-AUTO,C S ANAWALIKAR,Employees/Designated Employees,Equity Shares,0.0,,,Sell,Nil,2023-11-20,Market Sale,0,0
BAJAJ-AUTO,Ramtilak Ananthan,Employees/Designated Employees,Equity Shares,0.0,,,Buy,600,2023-12-01,ESOP,0,0
BAJAJ-AUTO,SARANG KANADE,Employees/Designated Employees,Equity Shares,0.0,,,Buy,15346,2023-12-01,ESOP,0,0
BAJAJ-AUTO,Ramtilak Ananthan,Employees/Designated Employees,Equity Shares,0.0,,,Buy,600,2023-12-01,ESOP,0,0
BAJAJ-AUTO,SARANG KANADE,Employees/Designated Employees,Equity Shares,0.0,,,Buy,15346,2023-12-01,ESOP,0,0
BAJAJ-AUTO,SARANG KANADE,Employees/Designated Employees,Equity Shares,0.0,,,Buy,15346,2023-12-01,ESOP,0,0
BAJAJ-AUTO,Ramtilak Ananthan,Employees/Designated Employees,Equity Shares,0.0,,,Buy,600,2023-12-01,ESOP,0,0
BAJAJ-AUTO,Chetan Joshi,Employees/Designated Employees,Equity Shares,0.0,,,Buy,374,2023-11-30,ESOP,0,0
BAJAJ-AUTO,Zanzari Kailash J,Employees/Designated Employees,Equity Shares,0.0,,,Sell,6600,2023-11-30,Market Sale,0,0
BAJAJ-AUTO,S Vishwanathan,Employees/Designated Employees,Equity Shares,0.0,,,Sell,400,2023-11-23,Market Sale,0,0
BAJAJ-AUTO,S Vishwanathan,Employees/Designated Employees,Equity Shares,0.0,,,Sell,298,2023-11-28,Market Sale,0,0
BAJAJ-AUTO,Chetan Joshi,Employees/Designated Employees,Equity Shares,0.0,,,Sell,Nil,2023-11-28,Market Sale,0,0
BAJAJ-AUTO,S Vishwanathan,Employees/Designated Employees,Equity Shares,0.0,,,Sell,600,2023-11-22,Market Sale,0,0
BAJAJ-AUTO,S Vishwanathan,Employees/Designated Employees,Equity Shares,0.0,,,Sell,502,2023-11-23,Market Sale,0,0
BAJAJ-AUTO,Zanzari Kailash J,Employees/Designated Employees,Equity Shares,0.0,,,Buy,6900,2023-11-23,ESOP,0,0
BAJAJ-AUTO,Chetan Joshi,Employees/Designated Employees,Equity Shares,0.0,,,Buy,440,2023-11-23,ESOP,0,0
BAJAJ-AUTO,Madhavdas Kini,Employees/Designated Employees,Equity Shares,0.0,,,Sell,596,2023-11-24,Market Sale,0,0
BAJAJ-AUTO,Madhavdas Kini,Employees/Designated Employees,Equity Shares,0.0,,,Buy,639,2023-11-23,ESOP,0,0
BAJAJ-AUTO,Madhavdas Kini,Employees/Designated Employees,Equity Shares,0.0,,,Buy,627,2023-11-23,ESOP,0,0
BAJAJ-AUTO,Madhavdas Kini,Employees/Designated Employees,Equity Shares,0.0,,,Sell,579,2023-11-07,Market Sale,0,0
BAJAJ-AUTO,Madhavdas Kini,Employees/Designated Employees,Equity Shares,0.0,,,Sell,626,2023-11-03,Market Sale,0,0
BAJAJ-AUTO,Madhavdas Kini,Employees/Designated Employees,Equity Shares,0.0,,,Buy,673,2023-10-25,ESOP,0,0
BAJAJ-AUTO,S Vishwanathan,Employees/Designated Employees,Equity Shares,0.0,,,Sell,748,2023-11-21,Market Sale,0,0
BAJAJ-AUTO,Zanzari Kailash J,Employees/Designated Employees,Equity Shares,0.0,,,Sell,6050,2023-11-21,Market Sale,0,0
BAJAJ-AUTO,C S ANAWALIKAR,Employees/Designated Employees,Equity Shares,0.0,,,Buy,110,2023-11-03,ESOP,0,0
BAJAJ-AUTO,C S ANAWALIKAR,Employees/Designated Employees,Equity Shares,0.0,,,Sell,Nil,2023-11-06,Market Sale,0,0
BAJAJ-AUTO,C S ANAWALIKAR,Employees/Designated Employees,Equity Shares,0.0,,,Buy,75,2023-11-09,ESOP,0,0
BAJAJ-AUTO,Zanzari Kailash J,Employees/Designated Employees,Equity Shares,0.0,,,Sell,6300,2023-11-15,Market Sale,0,0
BAJAJ-AUTO,Vikas Sawhney,Employees/Designated Employees,Equity Shares,0.0,,,Sell,100,2023-11-13,Market Sale,0,0
BAJAJ-AUTO,Zanzari Kailash J,Employees/Designated Employees,Equity Shares,0.0,,,Sell,6400,2023-11-12,Market Sale,0,0
BAJAJ-AUTO,Zanzari Kailash J,Employees/Designated Employees,Equity Shares,0.0,,,Sell,6450,2023-11-10,Market Sale,0,0
BAJAJ-AUTO,Vikas Sawhney,Employees/Designated Employees,Equity Shares,0.0,,,Buy,500,2023-11-09,ESOP,0,0
BAJAJ-AUTO,Zanzari Kailash J,Employees/Designated Employees,Equity Shares,0.0,,,Sell,6400,2023-11-01,Market Sale,0,0
BAJAJ-AUTO,Zanzari Kailash J,Employees/Designated Employees,Equity Shares,0.0,,,Sell,6300,2023-11-01,Market Sale,0,0
BAJAJ-AUTO,Zanzari Kailash J,Employees/Designated Employees,Equity Shares,0.0,,,Buy,6500,2023-11-08,ESOP,0,0
BAJAJ-AUTO,Ramtilak Ananthan,Employees/Designated Employees,Equity Shares,0.0,,,Sell,Nil,2023-11-08,Market Sale,0,0
BAJAJ-AUTO,Ramtilak Ananthan,Employees/Designated Employees,Equity Shares,0.0,,,Buy,600,2023-11-06,ESOP,0,0
BAJAJ-AUTO,K S GHRIHAPATHY,Employees/Designated Employees,Equity Shares,0.0,,,Sell,Nil,2023-11-06,Market Sale,0,0
BAJAJ-AUTO,Zanzari Kailash J,Employees/Designated Employees,Equity Shares,0.0,,,Buy,6475,2023-10-31,ESOP,0,0
BAJAJ-AUTO,S Vishwanathan,Employees/Designated Employees,Equity Shares,0.0,,,Buy,998,2023-10-27,ESOP,0,0
BAJAJ-AUTO,Zanzari Kailash J,Employees/Designated Employees,Equity Shares,0.0,,,Sell,5775,2023-10-27,Market Sale,0,0
BAJAJ-AUTO,Zanzari Kailash J,Employees/Designated Employees,Equity Shares,0.0,,,Sell,5950,2023-10-23,Market Sale,0,0
BAJAJ-AUTO,Zanzari Kailash J,Employees/Designated Employees,Equity Shares,0.0,,,Sell,5925,2023-10-26,Market Sale,0,0
COFORGE,Sudhir Singh,Key Managerial Personnel,Equity Shares,0.69,,,Buy,515327,2024-01-08,ESOP,0,1
COFORGE,Joydip Mukherji,Employees/Designated Employees,Equity Shares,0.0,,,Sell,550,2023-12-28,Market Sale,0,1
COFORGE,Rajeev Batra,Employees/Designated Employees,Equity Shares,0.0,,,Sell,2493,2023-12-29,Market Sale,0,1
COFORGE,Madan Mohan,Employees/Designated Employees,Equity Shares,0.07,,,Sell,42019,2023-12-29,Market Sale,0,1
COFORGE,Madan Mohan,Employees/Designated Employees,Equity Shares,0.07,,,Sell,45019,2023-12-28,Market Sale,0,1
COFORGE,Madhusudan Hegde,Employees/Designated Employees,Equity Shares,0.0,,,Sell,1000,2023-12-22,Market Sale,0,1
COFORGE,Anupam Jain,Employees/Designated Employees,Equity Shares,0.0,,,Sell,544,2023-12-28,Market Sale,0,1
COFORGE,Rajeev Pandey,Employees/Designated Employees,Equity Shares,0.0,100.0,635800.0,Sell,350,2023-12-22,Market Sale,0,1
COFORGE,Rajeev Pandey,Employees/Designated Employees,Equity Shares,0.0,50.0,322400.0,Sell,300,2023-12-22,Market Sale,0,1
COFORGE,Rajeev Pandey,Employees/Designated Employees,Equity Shares,0.0,50.0,323000.0,Sell,250,2023-12-29,Market Sale,0,1
COFORGE,Rajeev Pandey,Employees/Designated Employees,Equity Shares,0.0,120.0,353118.0,Sell,450,2023-12-21,Market Sale,0,1
COFORGE,Sudhir Singh,Key Managerial Personnel,Equity Shares,0.69,141.0,881870.0,Sell,432322,2023-12-29,Market Sale,0,1
COFORGE,Sudhir Singh,Key Managerial Personnel,Equity Shares,0.71,200.0,588530.0,Sell,434222,2023-12-27,Market Sale,0,1
COFORGE,Rajeev Pandey,Employees/Designated Employees,Equity Shares,0.0,,,Sell,200,2023-12-29,Market Sale,0,1
COFORGE,Vikas Vijay Jadhav,Employees/Designated Employees,Equity Shares,0.0,,,Sell,Nil,2023-12-22,Market Sale,0,1
COFORGE,Vikas Vijay Jadhav,Employees/Designated Employees,Equity Shares,0.0,,,Sell,10,2023-12-22,Market Sale,0,1
COFORGE,Sanjeev Prasad,Employees/Designated Employees,Equity Shares,0.04,,,Sell,22655,2023-12-26,Market Sale,0,1
COFORGE,Sanjeev Prasad,Employees/Designated Employees,Equity Shares,0.05,,,Sell,23155,2023-12-21,Market Sale,0,1
COFORGE,Bhartendra Gupta,Employees/Designated Employees,Equity Shares,0.0,,,Sell,6590,2023-12-22,Market Sale,0,1
COFORGE,Sudhir Singh,Key Managerial Personnel,Equity Shares,0.76,,,Sell,441088,2023-12-26,Market Sale,0,1
COFORGE,Gautam Samanta,Employees/Designated Employees,Equity Shares,0.02,,,Sell,Nil,2023-12-22,Market Sale,0,1
COFORGE,Rohit Mehra,Employees/Designated Employees,Equity Shares,0.0,,,Sell,4871,2023-12-26,Market Sale,0,1
COFORGE,John Robert Speight,Employees/Designated Employees,Equity Shares,0.0,,,Sell,Nil,2023-12-22,Market Sale,0,1
COFORGE,Madan Mohan,Employees/Designated Employees,Equity Shares,0.08,,,Sell,47019,2023-12-22,Market Sale,0,1
COFORGE,Sanjeev Prasad,Employees/Designated Employees,Equity Shares,0.01,,,Buy,32655,2023-12-20,ESOP,0,1
COFORGE,Rohit Mehra,Employees/Designated Employees,Equity Shares,0.0,,,Buy,5871,2023-12-20,ESOP,0,1
COFORGE,Bhartendra Gupta,Employees/Designated Employees,Equity Shares,0.0,,,Buy,8590,2023-12-20,ESOP,0,1
COFORGE,Ruchi Kulhari,Employees/Designated Employees,Equity Shares,0.0,,,Buy,4696,2023-12-20,ESOP,0,1
COFORGE,Anupam Jain,Employees/Designated Employees,Equity Shares,0.0,,,Buy,749,2023-12-20,ESOP,0,1
COFORGE,Joydip Mukherji,Employees/Designated Employees,Equity Shares,0.0,,,Buy,1000,2023-12-20,ESOP,0,1
COFORGE,Gautam Samanta,Employees/Designated Employees,Equity Shares,0.0,,,Buy,13246,2023-12-12,ESOP,0,1
COFORGE,John Robert Speight,Employees/Designated Employees,Equity Shares,0.0,,,Buy,1740,2023-12-12,ESOP,0,1
COFORGE,Rajeev Batra,Employees/Designated Employees,Equity Shares,0.0,,,Buy,4193,2023-12-12,ESOP,0,1
COFORGE,Shailendra Agarwal,Employees/Designated Employees,Equity Shares,0.0,,,Sell,3273,2023-12-06,Market Sale,0,1
