"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ? JSWSL OPJ Samruddhi Plan 2021 A/c","Other","Equity Shares","9193869","0.38",,"323","265827","Sell","Equity Shares","9193546","0.38","26-Mar-2024","26-Mar-2024","28-Mar-2024","Market Sale","-","-","0","0","0","0","NSE","-","02-Apr-2024 21:50","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163474_1079559_02042024095026_WEB.xml"
"RAMCOSYS","Ramco Systems Limited","7(2)","ALAGARAJA RAMALAKSHMI","Promoter Group","Equity Shares","2397","0.01",,"38530","0","Buy","Equity Shares","40927","0.11","16-Feb-2024","30-Mar-2024","30-Mar-2024","Others","-","-","0","0","0","0","NA","-","02-Apr-2024 20:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163472_1079553_02042024085123_WEB.xml"
"RAMCOSYS","Ramco Systems Limited","7(2)","SETHULAKSHMI JAYARAMAN","Promoter Group","Equity Shares","10315","0.03",,"38530","0","Buy","Equity Shares","48845","0.14","16-Feb-2024","30-Mar-2024","30-Mar-2024","Others","-","-","0","0","0","0","NA","-","02-Apr-2024 20:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163472_1079553_02042024085123_WEB.xml"
"BAJFINANCE","Bajaj Finance Limited","7(2)","Maharashtra Scooters Limited","Promoter Group","Debentures","Nil","0",,"15000","1501817815","Buy","Debentures","15000","0","27-Mar-2024","27-Mar-2024","01-Apr-2024","Market Purchase","-","-","0","0","0","0","BSE","-","02-Apr-2024 20:05","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163470_1079537_02042024080539_WEB.xml"
"UDS","Updater Services Limited","7(2)","SAMIR DHIRAJLAL TRIVEDI","-","Equity Shares","74075","0",,"630","202230","Sell","Equity Shares","73445","0","22-Mar-2024","22-Mar-2024","02-Apr-2024","Market Sale","-","-","0","0","0","0","BSE","-","02-Apr-2024 19:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163469_1079533_02042024075136_WEB.xml"
"UDS","Updater Services Limited","7(2)","SAMIR DHIRAJLAL TRIVEDI","-","Equity Shares","73445","0",,"3000","983700","Sell","Equity Shares","70445","0","26-Mar-2024","26-Mar-2024","02-Apr-2024","Market Sale","-","-","0","0","0","0","BSE","-","02-Apr-2024 19:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163469_1079533_02042024075136_WEB.xml"
"AUBANK","AU Small Finance Bank Limited","7(2)","Mayank Markanday","-","Equity Shares","26759","0",,"675","381746","Pledge Revoke","Equity Shares","26759","0","28-Mar-2024","28-Mar-2024","01-Apr-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","02-Apr-2024 18:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163466_1079476_02042024064611_WEB.xml"
"AUBANK","AU Small Finance Bank Limited","7(2)","Mayank Markanday","-","Equity Shares","27259","0",,"500","282001","Sell","Equity Shares","26759","0","27-Mar-2024","27-Mar-2024","29-Mar-2024","Market Sale","-","-","0","0","0","0","NSE","-","02-Apr-2024 18:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163466_1079476_02042024064611_WEB.xml"
"BIOCON","Biocon Limited","7(2)","KIRAN KUMAR GANDHIRAJAN","Employees/Designated Employees","Equity Shares","159086","0.01",,"19998","5286351","Sell","Equity Shares","139088","0.01","28-Mar-2024","28-Mar-2024","31-Mar-2024","Market Sale","-","-","0","0","0","0","NSE","-","02-Apr-2024 18:32","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163464_1079450_02042024063250_WEB.xml"
"BIOCON","Biocon Limited","7(2)","Akhilesh Nand","Employees/Designated Employees","Equity Shares","190967","0.02",,"11000","2866050","Sell","Equity Shares","179967","0.01","28-Mar-2024","28-Mar-2024","30-Mar-2024","Market Sale","-","-","0","0","0","0","NSE","-","02-Apr-2024 18:32","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163464_1079450_02042024063250_WEB.xml"
"RELIGARE","Religare Enterprises Limited","7(2)","Rashmi Saluja","Director","Equity Shares","3387371","1.03",,"720985","150868111","Pledge Revoke","Equity Shares","3387371","1.03","28-Mar-2024","28-Mar-2024","01-Apr-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","02-Apr-2024 18:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163461_1079422_02042024060825_WEB.xml"
"RELIGARE","Religare Enterprises Limited","7(2)","Rashmi Saluja","Director","Equity Shares","3387371","1.03",,"720985","152346574","Sell","Equity Shares","2666386","0.81","28-Mar-2024","28-Mar-2024","01-Apr-2024","Market Sale","-","-","0","0","0","0","NSE","-","02-Apr-2024 18:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163461_1079422_02042024060825_WEB.xml"
"SHRIRAMFIN","Shriram Finance Limited","7(2)","Shriram Value Services Limited","Promoter Group","Equity Shares","20771461","5.53",,"5980000","14268280000","Buy","Equity Shares","26751461","7.12","28-Mar-2024","28-Mar-2024","01-Apr-2024","Inter-se-Transfer","-","-","0","0","0","0","NSE","-","02-Apr-2024 18:07","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163460_1079417_02042024060715_WEB.xml"
"SHRIRAMFIN","Shriram Finance Limited","7(2)","Sanlam Life Insurance Limited","Promoter Group","Equity Shares","7536951","2.01",,"5980000","14268280000","Sell","Equity Shares","1556951","0.42","28-Mar-2024","28-Mar-2024","01-Apr-2024","Inter-se-Transfer","-","-","0","0","0","0","NSE","-","02-Apr-2024 18:07","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163460_1079417_02042024060715_WEB.xml"
"DBREALTY","D B Realty Limited","7(2)","Subramanian K. Mudaliyar","Employees/Designated Employees","Equity Shares","7500","0",,"6000","1241032","Sell","Equity Shares","1500","0","18-Mar-2024","28-Mar-2024","02-Apr-2024","Market Sale","-","-","0","0","0","0","NSE","-","02-Apr-2024 17:42","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163457_1079376_02042024054229_WEB.xml"
"RAMCOIND","Ramco Industries Limited","7(2)","SETHULAKSHMI JAYARAMAN","Promoter Group","Equity Shares","407480","0.47",,"526940","108470599","Buy","Equity Shares","934420","1.08","26-Mar-2024","26-Mar-2024","28-Mar-2024","Others","-","-","0","0","0","0","NA","-","02-Apr-2024 17:27","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163456_1079347_02042024052740_WEB.xml"
"RAMCOIND","Ramco Industries Limited","7(2)","A RAMALAKSHMI","Promoter Group","Equity Shares","399400","0.46",,"526940","108470599","Buy","Equity Shares","926340","1.07","26-Mar-2024","26-Mar-2024","28-Mar-2024","Others","-","-","0","0","0","0","NA","-","02-Apr-2024 17:27","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163456_1079347_02042024052740_WEB.xml"
"PARACABLES","Paramount Communications Limited","7(2)","Hertz Electricals (International) Private Limited","Promoter Group","Equity Shares","4708590","1.55",,"29000000","0","Buy","Equity Shares","33708590","11.11","30-Mar-2024","30-Mar-2024","01-Apr-2024","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","02-Apr-2024 17:24","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163454_1079334_02042024052432_WEB.xml"
"MAPMYINDIA","C.E. Info Systems Limited","7(2)","Monika Jaipuriar","-","Equity Shares","17614","0.03",,"1500","2777400","Sell","Equity Shares","16114","0.03","28-Mar-2024","28-Mar-2024","01-Apr-2024","Market Sale","-","-","0","0","0","0","NSE","-","02-Apr-2024 17:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163451_1079325_02042024052129_WEB.xml"
"MAPMYINDIA","C.E. Info Systems Limited","7(2)","Saurabh Somani","-","Equity Shares","833","0",,"643","1195263","Sell","Equity Shares","190","0","02-Mar-2024","28-Mar-2024","01-Apr-2024","Market Sale","-","-","0","0","0","0","NSE","-","02-Apr-2024 17:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163451_1079325_02042024052129_WEB.xml"
"LTIM","LTIMindtree Limited","7(2)","Arvind Ankalikar","Employees/Designated Employees","Equity Shares","59500","0.02",,"750","3709110","Sell","Equity Shares","58750","0.02","28-Mar-2024","28-Mar-2024","29-Mar-2024","Market Sale","-","-","0","0","0","0","NSE","-","02-Apr-2024 17:15","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163448_1079315_02042024051506_WEB.xml"
"LTIM","LTIMindtree Limited","7(2)","VIJAYARAM PARUPUDI","Employees/Designated Employees","Equity Shares","3760","0",,"3000","14861010","Sell","Equity Shares","760","0","28-Mar-2024","28-Mar-2024","01-Apr-2024","Market Sale","-","-","0","0","0","0","NSE","-","02-Apr-2024 17:15","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163448_1079315_02042024051506_WEB.xml"
"CLEAN","Clean Science And Technology Limited","7(2)","Dnyaneshwar Dhondiram Subhedar","Employees/Designated Employees","Equity Shares","462","0",,"462","610302","Pledge","Equity Shares","462","0","28-Mar-2024","28-Mar-2024","01-Apr-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","02-Apr-2024 17:05","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163445_1079302_02042024050516_WEB.xml"
"CLEAN","Clean Science And Technology Limited","7(2)","Aniket Gholap","Employees/Designated Employees","Equity Shares","558","0",,"558","735477","Sell","Equity Shares","Nil","0","28-Mar-2024","28-Mar-2024","29-Mar-2024","Market Sale","-","-","0","0","0","0","BSE","-","02-Apr-2024 17:05","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163445_1079302_02042024050516_WEB.xml"
"CLEAN","Clean Science And Technology Limited","7(2)","Dnyaneshwar Dhondiram Subhedar","Employees/Designated Employees","Equity Shares","462","0",,"462","610302","Sell","Equity Shares","Nil","0","28-Mar-2024","28-Mar-2024","01-Apr-2024","Market Sale","-","-","0","0","0","0","NSE","-","02-Apr-2024 17:05","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163445_1079302_02042024050516_WEB.xml"
"VASCONEQ","Vascon Engineers Limited","7(2)","Leena Upadhye","-","Equity Shares","58135","0.03",,"14500","1079040","Sell","Equity Shares","43635","0.02","15-Feb-2024","21-Mar-2024","29-Mar-2024","Market Sale","-","-","0","0","0","0","NSE","-","02-Apr-2024 15:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163443_1079214_02042024034721_WEB.xml"
"ZAGGLE","Zaggle Prepaid Ocean Services Limited","7(2)","Kartikeya Pasumarti","-","Equity Shares","3300","0",,"10000","2907312","Buy","Equity Shares","13300","0.01","28-Mar-2024","28-Mar-2024","01-Apr-2024","Market Purchase","-","-","0","0","0","0","NSE","-","02-Apr-2024 15:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163442_1079212_02042024034701_WEB.xml"
"VASCONEQ","Vascon Engineers Limited","7(2)","NAVIN HARI SINGH THAKUR","-","Equity Shares","90000","0.04",,"20000","1232000","Sell","Equity Shares","70000","0.03","21-Mar-2024","28-Mar-2024","29-Mar-2024","Market Sale","-","-","0","0","0","0","NSE","-","02-Apr-2024 15:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163441_1079210_02042024034634_WEB.xml"
"RELIGARE","Religare Enterprises Limited","7(2)","Rashmi Saluja","Director","Equity Shares","4675633","1.42",,"618545","132902202","Sell","Equity Shares","4057088","1.23","26-Mar-2024","26-Mar-2024","28-Mar-2024","Market Sale","-","-","0","0","0","0","NSE","-","02-Apr-2024 15:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163436_1079184_02042024032843_WEB.xml"
"RELIGARE","Religare Enterprises Limited","7(2)","Rashmi Saluja","Director","Equity Shares","4057088","1.23",,"669717","141984677","Sell","Equity Shares","3387371","1.03","27-Mar-2024","27-Mar-2024","28-Mar-2024","Market Sale","-","-","0","0","0","0","NSE","-","02-Apr-2024 15:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163436_1079184_02042024032843_WEB.xml"
"RELIGARE","Religare Enterprises Limited","7(2)","Rashmi Saluja","Director","Equity Shares","4675633","1.42",,"618545","131502667","Pledge Revoke","Equity Shares","4675633","1.42","26-Mar-2024","26-Mar-2024","28-Mar-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","02-Apr-2024 15:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163436_1079184_02042024032843_WEB.xml"
"RELIGARE","Religare Enterprises Limited","7(2)","Rashmi Saluja","Director","Equity Shares","4057088","1.23",,"669717","142113947","Pledge Revoke","Equity Shares","4057088","1.23","27-Mar-2024","27-Mar-2024","28-Mar-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","02-Apr-2024 15:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163436_1079184_02042024032843_WEB.xml"
"RGL","Renaissance Global Limited","7(2)","Niranjan Amritlal Shah","Promoters","Equity Shares","2857955","2.97",,"2464095","0","Sell","Equity Shares","393860","0.41","28-Mar-2024","28-Mar-2024","01-Apr-2024","Inter-se-Transfer","-","-","0","0","0","0","NA","-","02-Apr-2024 15:33","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163438_1079193_02042024033351_WEB.xml"
"RGL","Renaissance Global Limited","7(2)","Hitesh M. Shah","Promoters","Equity Shares","5438000","5.66",,"2088000","0","Sell","Equity Shares","3350000","3.48","28-Mar-2024","28-Mar-2024","01-Apr-2024","Inter-se-Transfer","-","-","0","0","0","0","NA","-","02-Apr-2024 15:33","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163438_1079193_02042024033351_WEB.xml"
"RGL","Renaissance Global Limited","7(2)","Jyotsna Mahendra Shah","Promoter Group","Equity Shares","Nil","0",,"2088000","0","Buy","Equity Shares","2088000","2.17","28-Mar-2024","28-Mar-2024","01-Apr-2024","Inter-se-Transfer","-","-","0","0","0","0","NA","-","02-Apr-2024 15:33","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163438_1079193_02042024033351_WEB.xml"
"RGL","Renaissance Global Limited","7(2)","Sumit N. Shah","Promoters","Equity Shares","1419790","1.48",,"2464095","0","Buy","Equity Shares","3883885","4.04","28-Mar-2024","28-Mar-2024","01-Apr-2024","Inter-se-Transfer","-","-","0","0","0","0","NA","-","02-Apr-2024 15:33","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163438_1079193_02042024033351_WEB.xml"
"STARCEMENT","Star Cement Limited","7(2)","SUMITRA DEVI AGARWAL FAMILY TRUST","Other","Equity Shares","17951414","4.44",,"500000","116200000","Buy","Equity Shares","18451414","4.57","27-Mar-2024","27-Mar-2024","30-Mar-2024","Gift","-","-","0","0","0","0","NA","-","02-Apr-2024 15:12","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163433_1079161_02042024031204_WEB.xml"
"ARROWGREEN","Arrow Greentech Limited","7(2)","HARESH MEHTA","Director","Equity Shares","76300","0.51",,"7407","2854514","Buy","Equity Shares","83707","0.55","28-Mar-2024","29-Mar-2024","30-Mar-2024","Market Purchase","-","-","0","0","0","0","BSE,NSE","-","02-Apr-2024 15:11","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163432_1079159_02042024031159_WEB.xml"
"ARROWGREEN","Arrow Greentech Limited","7(2)","RAKSHA PUNGALIA","Immediate relative","Equity Shares","3500","0.02",,"1000","399000","Buy","Equity Shares","4500","0.03","28-Mar-2024","28-Mar-2024","01-Apr-2024","Market Purchase","-","-","0","0","0","0","BSE,NSE","-","02-Apr-2024 15:11","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163432_1079159_02042024031159_WEB.xml"
"STARCEMENT","Star Cement Limited","7(2)","MAHABIR PRASAD AGARWAL FAMILY TRUST","Other","Equity Shares","17961414","4.44",,"500000","116200000","Buy","Equity Shares","18461414","4.57","27-Mar-2024","27-Mar-2024","30-Mar-2024","Gift","-","-","0","0","0","0","NA","-","02-Apr-2024 15:08","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163429_1079149_02042024030847_WEB.xml"
"STARCEMENT","Star Cement Limited","7(2)","Brij Bhushan Agarwal","Director","Equity Shares","2358413","0.58",,"1000000","232400000","Sell","Equity Shares","1358413","0.34","27-Mar-2024","27-Mar-2024","30-Mar-2024","Gift","-","-","0","0","0","0","NA","-","02-Apr-2024 15:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163427_1079145_02042024030622_WEB.xml"
"SUDARSCHEM","Sudarshan Chemical Industries Limited","7(2)","Nagesh V. Kamat","Other","Equity Shares","2600","0",,"2000","1060582","Sell","Equity Shares","600","0","05-Feb-2024","05-Feb-2024","28-Mar-2024","Market Sale","-","-","0","0","0","0","BSE","-","02-Apr-2024 14:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163425_1079132_02042024025506_WEB.xml"
"INTLCONV","International Conveyors Limited","7(2)","Mr. SurbhitDabriwala","Promoters","Equity Shares","10435359","16.47",,"1451379","117271423","Sell","Equity Shares","8983980","14.18","28-Mar-2024","28-Mar-2024","01-Apr-2024","Inter-se-Transfer","-","-","0","0","0","0","BSE","-","02-Apr-2024 12:56","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163420_1079064_02042024125626_WEB.xml"
"ECLERX","eClerx Services Limited","7(2)","Eclerx Employee Welfare Trust","Other","Equity Shares","818728","1.67",,"21001","49643830","Sell","Equity Shares","797727","1.63","28-Mar-2024","28-Mar-2024","01-Apr-2024","Market Sale","-","-","0","0","0","0","NSE","-","02-Apr-2024 12:41","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163419_1079057_02042024124119_WEB.xml"
"AKSHOPTFBR","Aksh Optifibre Limited","7(2)","Dr. Kailash Shantilal Choudhari","Promoters","Equity Shares","17457391","10.73",,"150000","1203734","Sell","Equity Shares","17307391","10.64","28-Mar-2024","28-Mar-2024","01-Apr-2024","Market Sale","-","-","0","0","0","0","NSE","-","02-Apr-2024 12:33","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163417_1079051_02042024123342_WEB.xml"
"INTLCONV","International Conveyors Limited","7(2)","Mr. SurbhitDabriwala","Promoters","Equity Shares","10435359","16.47",,"1451379","117271423","Sell","Equity Shares","8983980","14.18","28-Mar-2024","28-Mar-2024","01-Apr-2024","Inter-se-Transfer","-","-","0","0","0","0","BSE","-","02-Apr-2024 12:12","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163415_1079025_02042024121248_WEB.xml"
"ORTINLAB","Ortin Laboratories Limited","7(2)","Sanka Hema Kumari","-","Equity Shares","17896","0.22",,"17896","304232","Sell","Equity Shares","Nil","0","28-Mar-2024","28-Mar-2024","30-Mar-2024","Market Sale","-","-","0","0","0","0","NSE","-","02-Apr-2024 11:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163413_1079003_02042024114430_WEB.xml"
"ORTINLAB","Ortin Laboratories Limited","7(2)","Sanka Sarath Kumar","-","Equity Shares","32696","0.4",,"32696","555832","Sell","Equity Shares","Nil","0","28-Mar-2024","28-Mar-2024","30-Mar-2024","Market Sale","-","-","0","0","0","0","NSE","-","02-Apr-2024 11:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163413_1079003_02042024114430_WEB.xml"
"ORTINLAB","Ortin Laboratories Limited","7(2)","Sanka Satya Praveen Kumar","-","Equity Shares","78071","0.96",,"78071","1327207","Sell","Equity Shares","Nil","0","28-Mar-2024","28-Mar-2024","30-Mar-2024","Market Sale","-","-","0","0","0","0","NSE","-","02-Apr-2024 11:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163413_1079003_02042024114430_WEB.xml"
"ORTINLAB","Ortin Laboratories Limited","7(2)","Sanka Venkata Ratnamma","-","Equity Shares","42346","0.52",,"42346","719882","Sell","Equity Shares","Nil","0","28-Mar-2024","28-Mar-2024","30-Mar-2024","Market Sale","-","-","0","0","0","0","NSE","-","02-Apr-2024 11:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163413_1079003_02042024114430_WEB.xml"
"ORTINLAB","Ortin Laboratories Limited","7(2)","Sanka Naga Jyothi","-","Equity Shares","14339","0.18",,"14339","243763","Sell","Equity Shares","Nil","0","28-Mar-2024","28-Mar-2024","30-Mar-2024","Market Sale","-","-","0","0","0","0","NSE","-","02-Apr-2024 11:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163413_1079003_02042024114430_WEB.xml"
"ORTINLAB","Ortin Laboratories Limited","7(2)","Sanka Ravi Sankar","-","Equity Shares","84800","1.04",,"84800","1441600","Sell","Equity Shares","Nil","0","28-Mar-2024","28-Mar-2024","30-Mar-2024","Market Sale","-","-","0","0","0","0","NSE","-","02-Apr-2024 11:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163413_1079003_02042024114430_WEB.xml"
"ORTINLAB","Ortin Laboratories Limited","7(2)","Sanka Balaji Venkateswarlu","-","Equity Shares","41932","0.52",,"41932","712844","Sell","Equity Shares","Nil","0","28-Mar-2024","28-Mar-2024","30-Mar-2024","Market Sale","-","-","0","0","0","0","NSE","-","02-Apr-2024 11:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163413_1079003_02042024114430_WEB.xml"
"ORTINLAB","Ortin Laboratories Limited","7(2)","Lakshmi Sravani Dasari","-","Equity Shares","52000","0.64",,"32000","544000","Sell","Equity Shares","20000","0.25","28-Mar-2024","28-Mar-2024","30-Mar-2024","Market Sale","-","-","0","0","0","0","NSE","-","02-Apr-2024 11:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163413_1079003_02042024114430_WEB.xml"
"ORTINLAB","Ortin Laboratories Limited","7(2)","Sanka Srinivas  Kumar","-","Equity Shares","127175","1.56",,"127175","2161975","Sell","Equity Shares","Nil","0","28-Mar-2024","28-Mar-2024","30-Mar-2024","Market Sale","-","-","0","0","0","0","NSE","-","02-Apr-2024 11:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163413_1079003_02042024114430_WEB.xml"
"ORTINLAB","Ortin Laboratories Limited","7(2)","Sanka Venkata Subbamma","-","Equity Shares","27216","0.33",,"27216","462672","Sell","Equity Shares","Nil","0","28-Mar-2024","28-Mar-2024","30-Mar-2024","Market Sale","-","-","0","0","0","0","NSE","-","02-Apr-2024 11:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163413_1079003_02042024114430_WEB.xml"
"ESTER","Ester Industries Limited","7(2)","Mr. Arvind Singhania","Director","Equity Shares","150","0",,"2632135","248999971","Buy","Equity Shares","2632285","2.8","28-Mar-2024","28-Mar-2024","29-Mar-2024","Preferential Offer","-","-","0","0","0","0","NA","-","02-Apr-2024 11:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163410_1078986_02042024110634_WEB.xml"
"ESTER","Ester Industries Limited","7(2)","Modi Rubber Ltd","Promoter Group","Equity Shares","Nil","0",,"2642705","249999893","Buy","Equity Shares","2642705","2.81","28-Mar-2024","28-Mar-2024","29-Mar-2024","Preferential Offer","-","-","0","0","0","0","NA","-","02-Apr-2024 11:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163410_1078986_02042024110634_WEB.xml"
"SWSOLAR","Sterling and Wilson Renewable Energy Limited","7(2)","Rajneesh Shrotriya","Employees/Designated Employees","Equity Shares","7500","0",,"1950","1027357","Sell","Equity Shares","5550","0","28-Mar-2024","28-Mar-2024","28-Mar-2024","Market Sale","-","-","0","0","0","0","NSE","-","01-Apr-2024 23:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163406_1078952_01042024110635_WEB.xml"
"SWSOLAR","Sterling and Wilson Renewable Energy Limited","7(2)","Rajneesh Shrotriya","Employees/Designated Employees","Equity Shares","9000","0",,"1500","800550","Sell","Equity Shares","7500","0","27-Mar-2024","27-Mar-2024","28-Mar-2024","Market Sale","-","-","0","0","0","0","NSE","-","01-Apr-2024 23:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163406_1078952_01042024110635_WEB.xml"
"SWSOLAR","Sterling and Wilson Renewable Energy Limited","7(2)","Rajneesh Shrotriya","Employees/Designated Employees","Equity Shares","10000","0",,"1000","521860","Sell","Equity Shares","9000","0","26-Mar-2024","26-Mar-2024","28-Mar-2024","Market Sale","-","-","0","0","0","0","NSE","-","01-Apr-2024 23:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163406_1078952_01042024110635_WEB.xml"
"SWSOLAR","Sterling and Wilson Renewable Energy Limited","7(2)","Shilpa Urhekar","Employees/Designated Employees","Equity Shares","17974","0.01",,"6000","3152129","Sell","Equity Shares","11974","0.01","28-Mar-2024","28-Mar-2024","01-Apr-2024","Market Sale","-","-","0","0","0","0","NSE","-","01-Apr-2024 23:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163406_1078952_01042024110635_WEB.xml"
"KARURVYSYA","Karur Vysya Bank Limited","7(2)","M V SRINIVASAMOORTHI","Promoters","Equity Shares","220000","0.03",,"100000","17917448","Pledge Invoke","Equity Shares","120000","0.02","27-Mar-2024","27-Mar-2024","28-Mar-2024","Invocation of pledge","-","-","0","0","0","0","NSE","-","01-Apr-2024 20:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163404_1078915_01042024081450_WEB.xml"
"KARURVYSYA","Karur Vysya Bank Limited","7(2)","M V SRINIVASAMOORTHI","Promoters","Equity Shares","228980","0.03",,"8980","1598118","Sell","Equity Shares","220000","0.03","11-Mar-2024","11-Mar-2024","27-Mar-2024","Market Sale","-","-","0","0","0","0","NSE","-","01-Apr-2024 20:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163402_1078908_01042024080936_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Info Edge Employees Stock Option Plan Trust","Other","Equity Shares","257873","0.2",,"440","4400","Sell","Equity Shares","257433","0.2","28-Mar-2024","28-Mar-2024","30-Mar-2024","ESOP","-","-","0","0","0","0","NA","-","01-Apr-2024 19:33","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163400_1078893_01042024073303_WEB.xml"
"ALKYLAMINE","Alkyl Amines Chemicals Limited","7(2)","SYK TRADING AND CONSULTANCY LLP","Promoter Group","Equity Shares","783270","1.53",,"3000","5482200","Buy","Equity Shares","786270","1.54","28-Mar-2024","28-Mar-2024","29-Mar-2024","Market Purchase","-","-","0","0","0","0","NSE","-","01-Apr-2024 19:23","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163398_1078883_01042024072305_WEB.xml"
"GOCOLORS","Go Fashion (India) Limited","7(2)","RAHUL SARAOGI","Promoters","Equity Shares","9932320","18.39",,"500600","603323120","Pledge Revoke","Equity Shares","9932320","18.39","28-Mar-2024","28-Mar-2024","01-Apr-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","01-Apr-2024 19:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163396_1078878_01042024071643_WEB.xml"
