"SYMBOL 
","COMPANY 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
"
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,Tissa Thomas Varkey,Employees/Designated Employees,Equity Shares,1854,0,,1850,2997000,Pledge,Equity Shares,1854
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,Vikrant Chandrakant Bendre,Employees/Designated Employees,Equity Shares,2400,0,,2400,3888000,Pledge,Equity Shares,2400
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,Amarendra Kumar,Employees/Designated Employees,Equity Shares,2540,0,,2540,4114800,Pledge,Equity Shares,2540
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,Dr. Sujay Rajhans,Employees/Designated Employees,Equity Shares,5050,0,,5050,8181000,Pledge,Equity Shares,5050
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,Suresh Amin,Employees/Designated Employees,Equity Shares,2550,0,,2550,4131000,Pledge,Equity Shares,2550
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,Nikhil Chopra,Director,Equity Shares,40000,0.03,,40000,64800000,Pledge,Equity Shares,40000
SHOPERSTOP,Shoppers Stop Limited,Shwetal Basu,Employees/Designated Employees,Equity Shares,2560,0,,1000,658000,Sell,Equity Shares,1560
ICICIGI,ICICI Lombard General Insurance Company Limited,Abhitosh Pandey,-,Equity Shares,2000,0,,1100,1195535,Buy,Equity Shares,3100
ICICIGI,ICICI Lombard General Insurance Company Limited,Abhitosh Pandey,-,Equity Shares,3100,0,,3535,4366255,Buy,Equity Shares,6635
ICICIGI,ICICI Lombard General Insurance Company Limited,Abhitosh Pandey,-,Equity Shares,6635,0,,1125,1389544,Buy,Equity Shares,7760
ICICIGI,ICICI Lombard General Insurance Company Limited,Abhitosh Pandey,-,Equity Shares,1500,0,,1000,1462846,Sell,Equity Shares,500
